fx,fy,skew,u,v
982.1469025404856,996.7134966718495,-5.085733621810427,-7.341499996944085,11.262041023792484
1106.0388014359696,995.2375470640416,-98.25538254979267,-8.397634303075897,5.361421052403452
1021.6041174082594,1016.85541699063,-10.901672327986333,-0.6098659048804594,-0.376411830137602
1016.9214580882716,1047.0155589989286,-37.66005004626939,-9.7729199441343,3.419816958434908
1015.2317902651849,1007.5459607458594,-30.792516797581854,-7.550074591135913,3.606441921186543
973.7245514515139,1009.0371520902664,23.327239393030332,0.8411265386018342,-1.3646908690537913
927.4493803997632,963.8636053177003,41.29347420434436,6.9713112243563655,5.477106375869982
903.9462954765105,914.1569179737074,18.45067531609833,-6.082555498786294,3.344833472450202
976.0604557974478,1015.4098012471403,51.88325963100527,4.901313624406637,-2.9778467841207137
1155.6050144493424,1057.7227106305818,-265.90227869105655,-1.0445640081405518,5.886412618578009
