fx,fy,skew,u,v
1238.5168790619434,1194.1564043509934,-30.568906245280377,-7.070215817518614,-2.704606115162509
1074.921262571953,1008.3333751202912,-8.654284753116892,-4.38478588602294,-6.3994902505445115
978.7939977718149,1118.2507490627174,-11.040104178842899,1.86508309242867,-0.2542988223458157
1028.1884226039788,996.2908185478731,-8.621116327021435,3.7149050982303873,2.7639943912915292
938.5184105252489,954.5626800481044,-3.6017615034658066,3.3478946540027725,-2.2243569491878334
975.5065990695629,1057.8142432267377,-20.66516609950863,-8.677926082652121,-1.0668125001288373
918.6899961716746,938.397847035178,6.171680785316439,2.1832592436845264,-3.070996640985418
974.1282004777239,1041.1896194791755,-11.124964003104106,-2.7909698410454347,1.0351507935976525
1076.2097745936583,1048.4483544214804,-20.754177468729036,-9.102053697395327,-0.4680055110161902
1047.8654523988207,1060.5334680414371,-19.093808211254462,1.6923404211434958,-4.086060283577765
