fx,fy,skew,u,v
2733.353132026568,2990.4895214309777,43.344083888255504,1746.77485754284,1383.622568794701
2804.517008176551,3115.0308290532384,-156.63828981407036,1609.7580082961915,1307.4094612758097
2523.4086528746393,2815.107262094059,382.5266190629005,2184.7816608667163,2028.9406188573435
2736.415989920443,3262.5819882497594,1.306826572923125,1695.0894584051036,1609.1222220223287
2913.414002494359,2928.469764283954,-130.08445160525488,1715.1251009438977,1315.7944202387418
2802.7977785114012,2880.121338940109,59.947333657712655,1870.0592488814762,1547.987564914537
2850.8106091589193,3149.7626048019415,-408.1732949405711,1460.514717826639,1185.1661409345968
2704.009196618881,3182.1470139579196,-140.45369956571082,1605.3107050566628,1538.512392121868
2858.8329278225438,3067.400917930435,-274.11974349233395,1567.476323152089,1277.322338626899
2692.6604315069076,2906.6373582093797,190.3206725136407,1940.5625320918916,1723.739111350485
2792.677792564166,3132.5528211186593,8.504218348856892,1764.8053570610011,1634.5068050923514
2850.6478700612624,2880.388383900586,4.466569793916848,1828.2449635940861,1434.6879616710196
