fx,fy,skew,u,v
2668.512657748577,3139.738228468233,-26.69496179883069,1661.9006729373855,1469.1515988174983
2480.1115555548813,3766.3141653531866,-102.37069287425705,1487.9849518382239,1904.736152751946
2754.6951506092455,2848.1901426430695,226.13547008384313,2026.1803211452732,1697.1989752877967
2797.51777305865,2751.6438303278997,294.5351216455987,2061.6190125950684,1513.0735748026207
2872.664438341947,2762.607862049601,164.07914954500112,1985.8712008417936,1457.0731354388938
2898.9451142378684,2900.692707097912,-110.10443143412763,1768.0879077358018,1342.7195534773543
2917.030066545154,3067.32238006055,-46.555281530665944,1674.039531037518,1362.8849604150446
2368.9543431408383,3380.2918444216516,276.5724610984446,1902.5920485333484,2600.017267753708
2748.8288549281824,3023.7994536196734,-47.07426882016089,1708.9024755043824,1528.1180072471188
2901.753364980487,3002.516649197493,172.80177159751037,1927.7274906921816,1664.5039173374576
2852.7414331007635,2775.567855088033,146.81447209190154,2012.569427752977,1538.274522693636
