fx(rel),fy(rel),skew,u,v
0.08797025958406143,0.004531246701705635,43.344083888255504,0.1247745380185705,0.2648126627020717
0.06422522249698001,0.04636574707868272,157.63828981407036,0.036547333094778825,0.30530846903517017
0.15802180417929954,0.05438116825862982,381.5266190629005,0.40681369019106006,0.07807684317605922
0.08694828497816388,0.09592945524009386,0.306826572923125,0.09149353406638998,0.14499350583298154
0.027889889057604603,0.016301725131355662,131.08445160525488,0.1043947848962638,0.30085312420895755
0.06479887270223515,0.03254237858914709,58.947333657712655,0.20415920726431175,0.1774773831484926
0.048778575522549446,0.0580324503869471,409.1732949405711,0.059552660768423006,0.37026241183071373
0.09776136248952916,0.0689106529922471,141.45369956571082,0.033683647814979234,0.18251201268763653
0.046101792518337084,0.030366448750565954,275.11974349233395,0.009321521669084985,0.32129525046392193
0.10154807090193274,0.02363541880773271,189.3206725136407,0.24955732909973705,0.08409186431961477
0.06817557805666805,0.05225153547821944,7.504218348856892,0.1363846471738578,0.13150541706038713
0.04883287618910162,0.03245267588156326,3.4665697939168476,0.17723436161885778,0.2376790851907441
